NSets,,3,3,5,5,10,10,15,15,20,20
,,Peleg,Carr et al.,Peleg,Carr et al.,Peleg,Carr et al.,Peleg,Carr et al.,Peleg,Carr et al.
NElem,NScenarios,,,,,,,,,,
10,5,121.20493827160493,4.758098676964957e-14,40.079254079254014,4.867644492350536e-14,12.4663229669051,15.909090909090965,14.28571428571433,47.105419103313864,14.039408866995116,59.10000000000006
10,10,82.77585733882039,-1.2842998054897284e-13,4.292857142857011,-1.1093536377241606e-13,9.058132148435865,-2.3309410064862753e-14,9.143384899561173,17.76854384812782,4.659633677393163,18.638064840937233
10,20,126.56674708321744,-2.6897784480051554e-13,91.08115095593479,-2.4652482129154525e-13,7.462062519707898,-1.8395316107168698e-13,7.012977534484232,22.824705949525914,9.594306876919866,33.43354004624755
10,40,112.26219614847665,5.337423293307647e-13,110.56989690893124,4.669870986768829e-13,6.220482083545802,12.85278237652525,6.064635890279532,40.08962148144238,4.710232065272099,41.950386790605705
