,,,,,0,1,2
Carr,30,10,3,20,8.111944444444427,0.0,1.2492375373840332
Extensive,31,10,3,40,8.051205555555558,8.051205555555555,0.02500009536743164
Peleg,31,10,3,40,14.821127777777791,0.0,0.013936281204223633
Carr,31,10,3,40,8.0512055555556,0.0,16.323079586029053
Extensive,32,10,3,5,6.999999999999999,6.999999999999999,0.009999990463256836
Peleg,32,10,3,5,8.781688888888889,0.0,0.0010378360748291016
Carr,32,10,3,5,7.0000000000000036,0.0,0.03637099266052246
Extensive,33,10,3,10,7.5,7.5,0.00800013542175293
Peleg,33,10,3,10,12.536888888888878,0.0,0.002030611038208008
Carr,33,10,3,10,7.499999999999989,0.0,0.2341938018798828
Extensive,34,10,3,20,8.250000000000002,7.961944444444446,0.015999794006347656
Peleg,34,10,3,20,14.673194444444448,0.0,0.0031158924102783203
Carr,34,10,3,20,8.199999999999982,0.0,1.2324931621551514
Extensive,35,10,3,40,8.000000000000004,8.000000000000004,0.010999917984008789
Peleg,35,10,3,40,16.07715555555557,0.0,0.012445926666259766
Carr,35,10,3,40,8.000000000000046,0.0,16.9523983001709
Extensive,36,10,3,5,7.2,7.133333333333332,0.017999887466430664
Peleg,36,10,3,5,15.926755555555557,0.0,0.0010297298431396484
Carr,36,10,3,5,7.200000000000004,0.0,0.02398824691772461
Extensive,37,10,3,10,6.319555555555555,6.319555555555555,0.014999866485595703
Peleg,37,10,3,10,11.034666666666668,0.0,0.0010242462158203125
Carr,37,10,3,10,6.3195555555555485,0.0,0.054769039154052734
Extensive,38,10,3,20,8.011944444444445,8.011944444444445,0.009000062942504883
Peleg,38,10,3,20,16.69708333333334,0.0,0.004207611083984375
Carr,38,10,3,20,8.011944444444426,0.0,1.4341022968292236
Extensive,39,10,3,40,8.175000000000002,8.175000000000002,0.009999990463256836
Peleg,39,10,3,40,16.830772222222233,0.0,0.012484550476074219
Carr,39,10,3,40,8.175000000000049,0.0,14.799113750457764
Extensive,40,10,3,5,3.2,3.2,0.008999824523925781
Peleg,40,10,3,5,9.954222222222223,0.0,0.0020503997802734375
Carr,40,10,3,5,3.2000000000000006,0.0,0.01640772819519043
Extensive,41,10,3,10,8.099999999999998,8.099999999999998,0.015000104904174805
Peleg,41,10,3,10,14.712888888888893,0.0,0.002071857452392578
Carr,41,10,3,10,8.099999999999987,0.0,0.16706061363220215
Extensive,42,10,3,20,8.000000000000002,8.000000000000002,0.01100015640258789
Peleg,42,10,3,20,18.72097222222223,0.0,0.005252361297607422
Carr,42,10,3,20,7.99999999999998,0.0,1.9056992530822754
Extensive,43,10,3,40,8.075000000000003,7.725000000000001,0.0279998779296875
Peleg,43,10,3,40,16.07715555555557,0.0,0.018378257751464844
Carr,43,10,3,40,8.651205555555608,0.0,24.419036865234375
Extensive,44,10,3,5,7.3999999999999995,7.3999999999999995,0.01699995994567871
Peleg,44,10,3,5,9.954222222222223,0.0,0.0010118484497070312
Carr,44,10,3,5,7.400000000000004,0.0,0.017628908157348633
Extensive,45,10,3,10,6.999999999999998,6.999999999999998,0.009999990463256836
Peleg,45,10,3,10,12.87377777777778,0.0,0.0010857582092285156
Carr,45,10,3,10,6.999999999999991,0.0,0.13549137115478516
Extensive,46,10,3,20,7.350000000000002,7.1,0.011999845504760742
Peleg,46,10,3,20,25.298611111111125,0.0,0.008700370788574219
Carr,46,10,3,20,7.249999999999982,0.0,3.2350316047668457
Extensive,47,10,3,40,8.250000000000004,8.250000000000004,0.010999917984008789
Peleg,47,10,3,40,17.584388888888896,0.0,0.013392448425292969
Carr,47,10,3,40,8.25000000000005,0.0,19.31437635421753
Extensive,48,10,3,5,6.199999999999999,6.199999999999999,0.009000062942504883
Peleg,48,10,3,5,21.89928888888889,0.0,0.0
Carr,48,10,3,5,6.200000000000003,0.0,0.027044057846069336
Extensive,49,10,3,10,7.219555555555555,7.219555555555555,0.014999866485595703
Peleg,49,10,3,10,14.712888888888893,0.0,0.002079010009765625
Carr,49,10,3,10,7.219555555555549,0.0,0.14705109596252441
Extensive,50,10,3,20,8.400000000000002,8.399999999999999,0.01399993896484375
Peleg,50,10,3,20,14.673194444444448,0.0,0.002113819122314453
Carr,50,10,3,20,8.399999999999984,0.0,0.9850165843963623
Extensive,51,10,3,40,7.010850000000002,7.010850000000001,0.026999950408935547
Peleg,51,10,3,40,12.560277777777788,0.0,0.01179361343383789
Carr,51,10,3,40,7.010850000000023,0.0,13.320335388183594
Extensive,52,10,3,5,7.199999999999999,7.199999999999999,0.013000011444091797
Peleg,52,10,3,5,17.9176,0.0,0.0010044574737548828
Carr,52,10,3,5,7.200000000000004,0.0,0.025400638580322266
Extensive,53,10,3,10,7.3,7.3,0.009999990463256836
Peleg,53,10,3,10,8.739111111111097,0.0,0.0020456314086914062
Carr,53,10,3,10,7.29999999999999,0.0,0.22826719284057617
Extensive,54,10,3,20,7.600000000000002,7.600000000000002,0.009999990463256836
Peleg,54,10,3,20,24.28666666666668,0.0,0.006211757659912109
Carr,54,10,3,20,7.599999999999981,0.0,2.819354295730591
Extensive,55,10,3,40,8.175000000000002,7.774999999999996,0.013000011444091797
Peleg,55,10,3,40,18.086800000000004,0.0,0.0169217586517334
Carr,55,10,3,40,8.175000000000049,0.0,27.594827890396118
Extensive,56,10,3,5,8.4,8.4,0.013000011444091797
Peleg,56,10,3,5,15.926755555555557,0.0,0.0010426044464111328
Carr,56,10,3,5,8.400000000000002,0.0,0.021935462951660156
Extensive,57,10,3,10,8.399999999999999,8.399999999999999,0.008999824523925781
Peleg,57,10,3,10,13.793333333333337,0.0,0.001033782958984375
Carr,57,10,3,10,8.399999999999986,0.0,0.10349202156066895
Extensive,58,10,3,20,6.985833333333332,6.985833333333332,0.016000032424926758
Peleg,58,10,3,20,16.191111111111116,0.0,0.0032274723052978516
Carr,58,10,3,20,6.985833333333322,0.0,1.452674150466919
Extensive,59,10,3,40,8.175000000000002,8.175000000000002,0.011999845504760742
Peleg,59,10,3,40,18.086800000000004,0.0,0.013402938842773438
Carr,59,10,3,40,8.175000000000049,0.0,19.705239295959473
Extensive,60,10,5,5,6.6000000000000005,6.6000000000000005,0.009999990463256836
Peleg,60,10,5,5,9.193599999999998,0.0,0.0
Carr,60,10,5,5,6.600000000000003,0.0,0.028490543365478516
Extensive,61,10,5,10,7.6,7.371199999999999,0.020999908447265625
Peleg,61,10,5,10,7.694933333333326,0.0,0.0010344982147216797
Carr,61,10,5,10,7.599999999999989,0.0,0.14505219459533691
Extensive,62,10,5,20,7.800000000000002,7.600000000000001,0.011999845504760742
Peleg,62,10,5,20,20.365755555555545,0.0,0.0064601898193359375
Carr,62,10,5,20,7.84999999999998,0.0,3.4901864528656006
Extensive,63,10,5,40,6.975000000000003,6.975000000000001,0.02700018882751465
Peleg,63,10,5,40,24.449400000000026,0.0,0.04237818717956543
Carr,63,10,5,40,6.975000000000032,0.0,47.90772461891174
Extensive,64,10,5,5,5.6,5.6,0.016000032424926758
Peleg,64,10,5,5,8.5808,0.0,0.0010218620300292969
Carr,64,10,5,5,5.600000000000002,0.0,0.021760940551757812
Extensive,65,10,5,10,7.423733333333333,7.199999999999999,0.020000219345092773
Peleg,65,10,5,10,7.599999999999989,0.0,0.0020847320556640625
Carr,65,10,5,10,7.423733333333325,0.0,0.18168973922729492
Extensive,66,10,5,20,8.170866666666669,7.950000000000001,0.023000001907348633
Peleg,66,10,5,20,14.208666666666662,0.0,0.004143714904785156
Carr,66,10,5,20,8.499999999999986,0.0,1.7424430847167969
Extensive,67,10,5,40,7.825000000000005,7.451383333333331,0.01900005340576172
Peleg,67,10,5,40,16.752366666666653,0.0,0.02018427848815918
Carr,67,10,5,40,7.825000000000044,0.0,34.98677635192871
Extensive,68,10,5,5,5.800000000000001,5.800000000000001,0.009000062942504883
Peleg,68,10,5,5,7.993600000000003,0.0,0.0010387897491455078
Carr,68,10,5,5,5.8000000000000025,0.0,0.04643058776855469
Extensive,69,10,5,10,7.6,7.300000000000001,0.017000198364257812
Peleg,69,10,5,10,7.823733333333325,0.0,0.0031485557556152344
Carr,69,10,5,10,7.39999999999999,0.0,0.29900193214416504
Extensive,70,10,5,20,6.650000000000001,6.323622222222222,0.017999887466430664
Peleg,70,10,5,20,30.785444444444423,0.0,0.012770891189575195
Carr,70,10,5,20,6.649999999999984,0.0,4.949461221694946
Extensive,71,10,5,40,8.55,8.174999999999994,0.023999929428100586
Peleg,71,10,5,40,11.771933333333326,0.0,0.012629032135009766
Carr,71,10,5,40,8.476383333333382,0.0,17.74565029144287
Extensive,72,10,5,5,6.6,6.6,0.015000104904174805
Peleg,72,10,5,5,6.600000000000003,0.0,0.002084493637084961
Carr,72,10,5,5,6.600000000000003,0.0,0.0482485294342041
Extensive,73,10,5,10,2.6000000000000005,2.6,0.009999990463256836
Peleg,73,10,5,10,2.600000000000001,0.0,0.0011317729949951172
Carr,73,10,5,10,2.600000000000001,0.0,0.10382771492004395
Extensive,74,10,5,20,7.650000000000002,7.275000000000002,0.020999908447265625
Peleg,74,10,5,20,18.94488888888888,0.0,0.0053558349609375
Carr,74,10,5,20,7.59724444444443,0.0,2.2271625995635986
Extensive,75,10,5,40,7.5569166666666705,7.556916666666666,0.02200007438659668
Peleg,75,10,5,40,9.281716666666666,0.0,0.00825357437133789
Carr,75,10,5,40,7.556916666666703,0.0,12.29023790359497
Extensive,76,10,5,5,3.8,3.8,0.019999980926513672
Peleg,76,10,5,5,3.800000000000001,0.0,0.0010116100311279297
Carr,76,10,5,5,3.800000000000001,0.0,0.018727540969848633
Extensive,77,10,5,10,7.300000000000001,7.300000000000001,0.014999866485595703
Peleg,77,10,5,10,8.523733333333324,0.0,0.002053976058959961
Carr,77,10,5,10,7.29999999999999,0.0,0.1930091381072998
Extensive,78,10,5,20,8.350000000000003,8.35,0.019999980926513672
Peleg,78,10,5,20,15.155911111111106,0.0,0.005260467529296875
Carr,78,10,5,20,8.349999999999984,0.0,1.5098259449005127
Extensive,79,10,5,40,8.025000000000002,7.826383333333336,0.02200007438659668
Peleg,79,10,5,40,17.65789999999999,0.0,0.022519826889038086
Carr,79,10,5,40,8.025000000000047,0.0,30.153552770614624
Extensive,80,10,5,5,7.4,7.4,0.01399993896484375
Peleg,80,10,5,5,10.780800000000001,0.0,0.0010333061218261719
Carr,80,10,5,5,7.400000000000004,0.0,0.027051448822021484
Extensive,81,10,5,10,7.023733333333333,6.794933333333333,0.019999980926513672
Peleg,81,10,5,10,7.294933333333331,0.0,0.001035451889038086
Carr,81,10,5,10,7.023733333333328,0.0,0.1150972843170166
Extensive,82,10,5,20,7.568111111111112,7.568111111111112,0.023000001907348633
Peleg,82,10,5,20,13.73504444444444,0.0,0.0041582584381103516
Carr,82,10,5,20,7.5681111111111,0.0,1.5063903331756592
Extensive,83,10,5,40,8.025000000000002,8.025000000000002,0.023000001907348633
Peleg,83,10,5,40,16.978749999999987,0.0,0.02085733413696289
Carr,83,10,5,40,8.025000000000047,0.0,28.641960859298706
Extensive,84,10,5,5,6.993600000000001,6.8,0.019999980926513672
Peleg,84,10,5,5,8.1872,0.0,0.0010852813720703125
Carr,84,10,5,5,8.200000000000003,0.0,0.03464841842651367
Extensive,85,10,5,10,7.699999999999999,7.35,0.01699995994567871
Peleg,85,10,5,10,8.423733333333322,0.0,0.0020515918731689453
Carr,85,10,5,10,7.799999999999988,0.0,0.30121278762817383
Extensive,86,10,5,20,8.070866666666667,7.8000000000000025,0.02200007438659668
Peleg,86,10,5,20,8.812599999999998,0.0,0.0042192935943603516
Carr,86,10,5,20,8.070866666666653,0.0,1.8384051322937012
Extensive,87,10,5,40,7.300000000000004,7.300000000000004,0.011999845504760742
Peleg,87,10,5,40,24.449400000000026,0.0,0.03669619560241699
Carr,87,10,5,40,7.526383333333374,0.0,76.74096894264221
Extensive,88,10,5,5,7.4,7.200000000000001,0.015000104904174805
Peleg,88,10,5,5,9.3936,0.0,0.0010008811950683594
Carr,88,10,5,5,7.200000000000004,0.0,0.03326606750488281
